sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
183,Vadodara,390022,1,1,2400,Babajipura,Builder Floor,Unfurnished,Unknown,Resale,Other,,Other,750
184,Vadodara,390022,3,1,6958,Bahar Colony,House,Unfurnished,Unknown,Resale,Other,,Other,480
185,Vadodara,390022,2,3,3571,Bansidhar Complex,Flat,Semi-Furnished,Ready to Move,Resale,East,5.0,Freehold,1400
186,Vadodara,390022,2,3,5053,Bapod,House,Unfurnished,Ready to Move,Resale,East,,Other,1425
187,Vadodara,390022,2,2,4385,Baroda Heights Manjalpur,Flat,Semi-Furnished,Ready to Move,Resale,East,12.0,Freehold,650
188,Vadodara,390022,3,3,7363,Behind Bankers Heart Institute,Flat,Semi-Furnished,Ready to Move,Resale,North,3.0,Freehold,1073
189,Vadodara,390022,5,5,8000,Bhakti Nagar,House,Furnished,Ready to Move,Resale,Other,1.0,Other,5000
190,Vadodara,390022,3,3,9444,Bhakti Nagar-Makarpura,House,Semi-Furnished,Unknown,Resale,West,3.0,Freehold,900
191,Vadodara,391410,1,1,5273,Bhayli,Flat,Furnished,Ready to Move,Resale,North,4.0,Freehold,550
192,Vadodara,391410,2,2,5556,Bhayli,Flat,Furnished,Ready to Move,Resale,East,4.0,Freehold,900
193,Vadodara,391410,2,2,5400,Bhayli,Flat,Unfurnished,Ready to Move,Resale,Other,5.0,Other,500
194,Vadodara,391410,2,2,3525,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,North - East,3.0,Other,1305
195,Vadodara,391410,2,2,3571,Bhayli,Flat,Furnished,Ready to Move,Resale,East,4.0,Freehold,700
196,Vadodara,391410,2,2,2419,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,3.0,Other,1075
197,Vadodara,391410,2,2,5973,Bhayli,Flat,Unfurnished,Ready to Move,New,Other,,Other,904
198,Vadodara,391410,2,2,3600,Bhayli,Flat,Furnished,Ready to Move,Resale,Other,2.0,Other,750
199,Vadodara,391410,2,2,4286,Bhayli,Flat,Unfurnished,Ready to Move,Resale,Other,3.0,Other,700
200,Vadodara,391410,2,2,5806,Bhayli,Flat,Unfurnished,Ready to Move,Resale,Other,3.0,Other,620
201,Vadodara,391410,2,2,4103,Bhayli,Flat,Furnished,Ready to Move,Resale,East,4.0,Freehold,780
202,Vadodara,391410,2,2,2361,Bhayli,Flat,Furnished,Ready to Move,Resale,East,5.0,Freehold,1800
203,Vadodara,391410,2,2,2938,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,3.0,Other,1120
204,Vadodara,391410,2,2,3765,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,East,4.0,Freehold,850
205,Vadodara,391410,2,2,3765,Bhayli,Flat,Furnished,Ready to Move,Resale,North - East,6.0,Freehold,850
206,Vadodara,391410,2,2,4375,Bhayli,Flat,Unfurnished,Ready to Move,Resale,East,3.0,Freehold,800
207,Vadodara,391410,2,2,3404,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,East,1.0,Other,1322
208,Vadodara,391410,2,2,2778,Bhayli,Flat,Unfurnished,Ready to Move,Resale,West,4.0,Other,900
209,Vadodara,391410,2,2,2667,Bhayli,Flat,Unfurnished,Ready to Move,Resale,Other,3.0,Freehold,1050
210,Vadodara,391410,2,2,2857,Bhayli,Flat,Furnished,Ready to Move,Resale,Other,1.0,Other,1050
211,Vadodara,391410,2,2,2545,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,4.0,Other,1100
212,Vadodara,391410,2,2,3756,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,North - East,4.0,Freehold,900
213,Vadodara,391410,2,2,4915,Bhayli,Flat,Furnished,Ready to Move,Resale,West,1.0,Other,763
214,Vadodara,391410,2,2,4471,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,4.0,Freehold,850
215,Vadodara,391410,2,2,5323,Bhayli,Flat,Furnished,Ready to Move,Resale,North - East,2.0,Freehold,789
216,Vadodara,391410,2,2,5000,Bhayli,Flat,Furnished,Ready to Move,Resale,Other,3.0,Other,700
217,Vadodara,391410,2,2,4308,Bhayli,Builder Floor,Furnished,Ready to Move,Resale,North - East,4.0,Freehold,650
218,Vadodara,391410,2,2,3077,Bhayli,Flat,Unfurnished,Ready to Move,Resale,Other,2.0,Other,1040
219,Vadodara,391410,2,2,12121,Bhayli,Flat,Unfurnished,Ready to Move,Resale,Other,3.0,Other,825
220,Vadodara,391410,2,2,3226,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,8.0,Other,775
221,Vadodara,391410,2,2,3333,Bhayli,Builder Floor,Furnished,Ready to Move,Resale,Other,2.0,Other,1050
222,Vadodara,391410,2,2,5319,Bhayli,Flat,Furnished,Ready to Move,Resale,Other,3.0,Other,658
223,Vadodara,391410,2,2,4400,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,2.0,Other,1250
224,Vadodara,391410,2,2,5811,Bhayli,Flat,Furnished,Ready to Move,New,East,5.0,Freehold,740
225,Vadodara,391410,2,2,6694,Bhayli,Flat,Furnished,Ready to Move,Resale,North - East,5.0,Freehold,732
226,Vadodara,391410,2,2,4429,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,2.0,Other,700
227,Vadodara,391410,2,2,4333,Bhayli,Flat,Unfurnished,Ready to Move,Resale,Other,1.0,Other,600
228,Vadodara,391410,3,3,4505,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,East,4.0,Other,910
229,Vadodara,391410,3,3,7353,Bhayli,Flat,Furnished,Ready to Move,Resale,Other,1.0,Other,1700
230,Vadodara,391410,3,3,5143,Bhayli,Flat,Furnished,Ready to Move,Resale,Other,6.0,Other,1400
231,Vadodara,391410,2,3,5424,Bhayli,Flat,Furnished,Ready to Move,Resale,Other,5.0,Other,931
232,Vadodara,391410,3,3,4100,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,3.0,Other,1000
233,Vadodara,391410,3,3,3158,Bhayli,Flat,Semi-Furnished,Ready to Move,Resale,Other,5.0,Freehold,1900
234,Vadodara,391410,3,3,4000,Bhayli,Flat,Furnished,Ready to Move,Resale,South -West,5.0,Freehold,2250
235,Vadodara,391410,3,3,3111,Bhayli,House,Unknown,Ready to Move,Resale,East,5.0,Other,2250
236,Vadodara,391410,2,3,6641,Bhayli,Flat,Furnished,Ready to Move,Resale,North - East,5.0,Leasehold,1280
