sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
1658,Vadodara,390025,4,4,5629,Waghodia Road,Villa,Semi-Furnished,Ready to Move,Resale,North,,Freehold,2132
1659,Vadodara,390025,3,3,3819,Waghodia Road,House,Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,1440
1660,Vadodara,390025,2,2,2000,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,Unknown,4.0,Unknown,1100
1661,Vadodara,390025,4,3,4667,Waghodia Road,House,Semi-Furnished,Ready to Move,Resale,South -West,1.0,Freehold,1500
1662,Vadodara,390025,3,3,4995,Waghodia Road,House,Furnished,Ready to Move,Resale,East,2.0,Freehold,2000
1663,Vadodara,390025,4,4,4235,Waghodia Road,House,Semi-Furnished,Ready to Move,Resale,Unknown,,Unknown,1700
1664,Vadodara,390025,2,2,3297,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,West,2.0,Freehold,910
1665,Vadodara,390025,2,2,3706,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,East,4.0,Freehold,850
1666,Vadodara,390025,2,2,2991,Waghodia Road,Apartment,Furnished,Ready to Move,Resale,East,8.0,Freehold,1170
1667,Vadodara,390025,3,3,5385,Waghodia Road,Villa,Furnished,Ready to Move,Resale,East,,Freehold,1300
1668,Vadodara,390025,3,3,2571,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Freehold,1750
1669,Vadodara,390025,3,3,2234,Waghodia Road,Penthouse,Unfurnished,Ready to Move,New Property,South,4.0,Freehold,1925
1670,Vadodara,390025,2,2,3538,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,East,1.0,Freehold,650
1671,Vadodara,390025,3,3,8974,Waghodia Road,House,Semi-Furnished,Ready to Move,Resale,East,,Co-operative Society,780
1672,Vadodara,390025,3,3,4762,Waghodia Road,Villa,Semi-Furnished,Ready to Move,Resale,East,,Freehold,1260
1673,Vadodara,390025,1,1,4709,Waghodia Road,House,Unfurnished,Ready to Move,Resale,North,1.0,Unknown,858
1674,Vadodara,390025,2,3,2500,Waghodia Road,Apartment,Unfurnished,Ready to Move,New Property,Unknown,2.0,Unknown,1200
1675,Vadodara,390025,2,3,6250,Waghodia Road,Villa,Unfurnished,Ready to Move,Resale,Unknown,,Unknown,1600
1676,Vadodara,390025,2,2,2308,Waghodia Road,Penthouse,Semi-Furnished,Ready to Move,Resale,East,5.0,Leasehold,1300
1677,Vadodara,390025,1,1,2429,Waghodia Road,Builder Floor,Unfurnished,Ready to Move,Resale,Unknown,2.0,Unknown,700
1678,Vadodara,390025,7,6,11033,Waghodia Road,Villa,Furnished,Ready to Move,Resale,Unknown,,Unknown,3000
1679,Vadodara,390025,2,1,3385,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,650
1680,Vadodara,390025,2,2,3636,Waghodia Road,Builder Floor,Furnished,Ready to Move,Resale,Unknown,1.0,Unknown,1100
1681,Vadodara,390025,3,3,7042,Waghodia Road,House,Unfurnished,Ready to Move,Resale,Unknown,2.0,Unknown,1420
1682,Vadodara,390025,2,2,5806,Waghodia Road,Apartment,Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,775
1683,Vadodara,390025,3,3,4857,Waghodia Road,Villa,Semi-Furnished,Ready to Move,Resale,North - East,,Freehold,1750
1684,Vadodara,390025,3,3,6986,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,Unknown,6.0,Unknown,730
1685,Vadodara,390025,1,1,2071,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,East,2.0,Freehold,700
1686,Vadodara,390025,2,3,6250,Waghodia Road,House,Semi-Furnished,Ready to Move,Resale,Unknown,,Unknown,1200
1687,Vadodara,390025,1,1,5641,Waghodia Road,House,Unfurnished,Ready to Move,Resale,Unknown,,Unknown,585
1688,Vadodara,390025,2,3,3240,Waghodia Road,Apartment,Unfurnished,Ready to Move,New Property,Unknown,8.0,Unknown,1250
1689,Vadodara,390025,3,3,6087,Waghodia Road,House,Unfurnished,Ready to Move,Resale,Unknown,,Unknown,1150
1690,Vadodara,390025,2,2,1905,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,Unknown,3.0,Unknown,1050
1691,Vadodara,390025,1,1,5301,Waghodia Road,Penthouse,Unfurnished,Ready to Move,Resale,Unknown,5.0,Unknown,415
1692,Vadodara,390025,1,2,2154,Waghodia Road,Builder Floor,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,650
1693,Vadodara,390025,2,2,5778,Waghodia Road,Penthouse,Furnished,Ready to Move,Resale,Unknown,7.0,Unknown,1125
1694,Vadodara,390025,2,3,6250,Waghodia Road,House,Furnished,Ready to Move,Resale,East,,Freehold,1200
1695,Vadodara,390025,2,2,5000,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,East,5.0,Freehold,900
